Directory,Filename,Part Identifier,Description,Distrib,P/N,USD,QTY,$402.86,Manufacturer,Notes,URL,,,,,,,,,,,,,,
./DGxx - GT2 pulleys and betls:,DGB360.AD_PRT,DGB360,GT2 belt - 3x 360mm,RobotDigg,10,$2.00,1,2,,Delta motor assembly,http://robotdigg.com/product/10/Open-Ended-6mm-Width-GT2-Belt,,,,,,,,,,,,,,
./DGxx - GT2 pulleys and betls:,DGP16T.AD_PRT,DGP16T,Pulley- GT2- 16T- aluminum,RobotDigg,59,$2.00,3,6,RobotDigg,Delta motor assembly,http://robotdigg.com/product/59/Rostock-16-Teeth-5mm-Bore-GT2-Pulley,,,,,,,,,,,,,,
./DRxxx - Rod:,DRCF-TUBE-M5.8-236L.AD_PRT,DRCF-TUBE-M5.8-236L,"Carbon fiber rods- 235mm- cut from 12"" lengths and sanded to match",tridprinting,,$1.81,6,10.875,,Delta rod links (see also dragonplate for nice ones),http://www.tridprinting.com/Mechanical-Parts/,,,,,,,,,,,,,,
,DRCF-TUBE-M5.8-240L.AD_PRT,DRCF-TUBE-M5.8-240L,Carbon fiber rods- 240mm.  For delta mechanism with MagnaArms,McMaster Carr,,,,,,,,,,,,,,,,,,,,,
./DRxxx - Rod:,DRSM-M5-25L.AD_PRT,DRSM-M5-25L,Multipurpose O1 Tool Steel- Tight-Tolerance Rod- 5mm 25mm long,McMaster Carr,,,,0,,For AD08T feeder cover tape clutchy thing,,,,,,,,,,,,,,,
./DRxxx - Rod:,DRSM-M5-27L.AD_PRT,DRSM-M5-27L,Multipurpose O1 Tool Steel- Tight-Tolerance Rod- 5mm 27mm long,McMaster Carr,,,,0,,,,,,,,,,,,,,,,,
./DRxxx - Rod:,DRSM-M5-28L.AD_PRT,DRSM-M5-28L,Multipurpose O1 Tool Steel- Tight-Tolerance Rod- 5mm 28mm long,McMaster Carr,,,,0,,,,,,,,,,,,,,,,,
./DRxxx - Rod:,DRSM-M5-30L.AD_PRT,DRSM-M5-30L,Multipurpose O1 Tool Steel- Tight-Tolerance Rod- 5mm 30mm long,McMaster Carr,,,,0,,,,,,,,,,,,,,,,,
./DRxxx - Rod:,DRSM-M5-55L.AD_PRT,DRSM-M5-55L,Multipurpose O1 Tool Steel- Tight-Tolerance Rod- 5mm Diameter- 3' Long,McMaster Carr, 88625k64 ,$3.62,1,3.62,,For SMT feeders - shaft for takeup spool,http://www.mcmaster.com/#88625k64,,,,,,,,,,,,,,
./DRxxx - Rod:,DRTH-M8-120L.AD_PRT,DRTH-M8-120L,M8 threaded rod- 1m cut into 3@120mm (100mm working length),McMaster Carr,98861A080,$0.23,3,0.681,,Delta motor assembly,http://www.mcmaster.com/#98861a080,,,,,,,,,,,,,,
./DTxxx - Tube:,DTS0001 - Silicone tube coupler for SMT NEMA 8 to Luer.AD_PRT,DTS0001,Silicone tube coupler for SMT NEMA 8 to Luer,McMaster Carr,,,,0,,,,,,,,,,,,,,,,,
./EL-xxxx - Electronic Components:,EL-ADAFRUIT-NEORING-24.AD_PRT,EL-ADAFRUIT-NEORING-24,Adafruit neopixel ring- 24-led,Adafruit,,,,0,,Reference only at this point... we're still working on lighting,,,,,,,,,,,,,,,
./EL-xxxx - Electronic Components:,EL-COIL-SLF7045.AD_PRT,EL-COIL-SLF7045,SMT coil for switching power supply (SLF7045),,,,,0,,CAD Only,,,,,,,,,,,,,,,
